"_id","_labels","addr","bandwith","cpu_usage","created_time","email","func","id","install_reason","ip","is_deleted","linkman","memory_usage","model","name","os","props","software","speed","status","supplier","tenant","type","uuid","vlan","_start","_end","_type","conn_type","end_port","start_port","type","uuid"
"0",":Customer","","","","","","","","","","false","","","","customerC4","","","","","","","","","","",,,,,,,,
"1",":Customer","","","","","","","","","","","","","","customerC2","","","","","","","","","","",,,,,,,,
"95",":BaseNode:Customer","Dongguan","","","2020-10-09","customerA@qq.com","","","installA","","false","customerA","","","customerA","","{""p1"": ""customerA""}","","","on","","customerA","","customerA","",,,,,,,,
"96",":BaseNode:CompanyService","","2M","","","","","","","","","","","","FastIP服务","","","","","","","","","FastIP服务","",,,,,,,,
"97",":BaseNode:CompanyService","","","","","","","","","","","","","","组网服务A","","","","","","","","","组网服务A","",,,,,,,,
"99",":BaseNode:CompanyService","","","","","","","","","","","","","","组网服务B","","","","","","","","","组网服务B","",,,,,,,,
"100",":Function","","","","","","","","","","","","","","","","","","","","","","","PE接入功能","",,,,,,,,
"101",":PEAccessPoint","","","","","","","","","202.104.179.43","","","","","","","","","","","","","","dgb_sfastip1_ct_300m","",,,,,,,,
"102",":PE","","","","","","fastIP","","","192.168.251.9","","","","VyOS_PE","","","","","","","","","main","dgb_sfastip1","",,,,,,,,
"103",":VM","","","20","","","","","","","","","30","","","VyOS","","","","","","","","peActiveVM","",,,,,,,,
"104",":Cluster","","","","","","","","","","","","","","","","","VMware","","","","","","PE_VM_Cluster","",,,,,,,,
"105",":CoreSw","","","","","","","","","192.168.251.22","","","","","","","","","","","","","","dgb_coresw12","",,,,,,,,
"106",":AcSw","","","","","","","","","192.168.251.3","","","","","","","","","","","","","AC_SW","dgb_acsw1","",,,,,,,,
"107",":Machine","","","","","","","","","","","","","","","","","","","","","","","dgb_esxi1","",,,,,,,,
"108",":Port","","","","","","","","","","","","","","","","","","1G","","","","optical","dgb_esxi1_eth1","",,,,,,,,
"109",":Port","","","","","","PE接入","","","","","","","","","","","","","","","","optical","dgb_coresw12_Gi0/0/0","",,,,,,,,
"110",":Machine","","","","","","","","","","","","","","","","","","","","","","","dgb_esxi2","",,,,,,,,
"111",":Port","","","","","","","","","","","","","","","","","","1G","","","","optical","dgb_esxi2_eth1","",,,,,,,,
"112",":Port","","","","","","PE接入","","","","","","","","","","","","","","","","optical","dgb_coresw12_Gi0/0/5","",,,,,,,,
"113",":Machine","","","","","","","","","","","","","","","","","","","","","","","dgb_esxi3","",,,,,,,,
"114",":Port","","","","","","","","","","","","","","","","","","1G","","","","optical","dgb_esxi3_eth1","",,,,,,,,
"115",":Port","","","","","","PE接入","","","","","","","","","","","","","","","","optical","dgb_coresw12_Gi0/0/2","",,,,,,,,
"116",":Port","","","","","","","","","","","","","","","","","","1G","","","","optical","dgb_esxi1_eth2","",,,,,,,,
"117",":Port","","","","","","PE接入","","","","","","","","","","","","","","","","optical","dgb_acsw1_Gi0/1/0","",,,,,,,,
"118",":Port","","","","","","","","","","","","","","","","","","1G","","","","optical","dgb_esxi2_eth2","",,,,,,,,
"119",":Port","","","","","","PE接入","","","","","","","","","","","","","","","","optical","dgb_acsw1_Gi0/1/1","",,,,,,,,
"120",":Port","","","","","","","","","","","","","","","","","","1G","","","","optical","dgb_esxi3_eth2","",,,,,,,,
"121",":Port","","","","","","PE接入","","","","","","","","","","","","","","","","optical","dgb_acsw1_Gi0/1/2","",,,,,,,,
"122",":Internet","","300M","","","","","","","202.104.179.53","","","","","","","","","","","CT","","","internetCT300M_Gi0/0/10","",,,,,,,,
"123",":Port","","","","","","","","","","","","","","","","","","","","","","optical","dgb_coresw12_Gi0/0/10","53",,,,,,,,
"124",":Trunk","","300M","","","","","","","202.104.179.63","","","","","","","","","","","CT","","","ctTrunkAcSw_Gi1/0/6","",,,,,,,,
"125",":Port","","","","","","","","","","","","","","","","","","","","","","optical","dgb_acsw1_Gi1/0/6","53",,,,,,,,
"126",":Xen","","","","","","","","","","","","","","","","","","","","","","","dgb_xen1","",,,,,,,,
"127",":Xen","","","","","","","","","","","","","","","","","","","","","","","dgb_xen2","",,,,,,,,
"128",":Port","","","","","","","","","","","","","","","","","","","","","","","dgb_coresw12_eth_trunk1","",,,,,,,,
"129",":Port","","","","","","","","","","","","","","","","","","","","","","","dgb_fastip3_po1","",,,,,,,,
"130",":Router","","","","","","","","","192.168.251.23","","","","","","","","","","","","","fastip","dgb_fastip3","",,,,,,,,
"131",":Port","","","","","","","","","","","","","","","","","","","","","","","dgb_fastip3_Gi0/0/4","",,,,,,,,
"132",":Port","","","","","","","","","","","","","","","","","","","","","","","dgb_acsw1_gi1026_Gi1/0/26","",,,,,,,,
"133",":Port","","","","","","","","","","","","","","","","","","","","","","","dgb_coresw12_Gi0/0/3","",,,,,,,,
"134",":Port","","","","","","","","","","","","","","","","","","","","","","","dgb_fastip1_Gi0/0","",,,,,,,,
"135",":Router","","","","","","","","","192.168.251.4","","","","","","","","","","","","","fastip","dgb_fastip1","",,,,,,,,
"136",":Port","","","","","","","","","","","","","","","","","","","","","","","dgb_fastip1_Gi0/2","",,,,,,,,
"137",":Port","","","","","","","","","","","","","","","","","","","","","","","dgb_acsw1_Gi1/0/3","",,,,,,,,
"138",":Port","","","","","","","","","","","","","","","","","","","","","","","dgb_coresw12_Gi1/0/8","",,,,,,,,
"139",":Port","","","","","","","","","","","","","","","","","","","","","","","dgb_fastip1_Gi0/1","",,,,,,,,
"140",":Port","","","","","","","","","","","","","","","","","","","","","","","dgb_coresw12_Gi0/0/7","",,,,,,,,
"141",":Port","","","","","","","","","","","","","","","","","","","","","","","dgb_upe1_Gi0/0/0","",,,,,,,,
"142",":Router","","","","","","","","","192.168.251.2","","","","","","","","","","","","","upe","dgb_upe1","",,,,,,,,
"143",":Port","","","","","","","","","","","","","","","","","","","","","","","dgb_upe1_Gi0/0/2","",,,,,,,,
"144",":Port","","","","","","","","","","","","","","","","","","","","","","","dgb_acsw1_Gi1/0/10","",,,,,,,,
"145",":Port","","","","","","","","","","","","","","","","","","","","","","","dgb_coresw12_Gi1/0/7","",,,,,,,,
"146",":Port","","","","","","","","","","","","","","","","","","","","","","","dgb_upe1_Gi0/0/1","",,,,,,,,
"147",":Port","","","","","","","","","","","","","","","","","","","","","","","dgb_coresw12_Gi0/0/1","",,,,,,,,
"148",":Port","","","","","","","","","","","","","","","","","","","","","","","dgb_vpnpe1_Gi0/0","",,,,,,,,
"149",":Router","","","","","","","","","192.168.251.1","","","","","","","","","","","","","vpnpe","dgb_vpnpe1","",,,,,,,,
"150",":Port","","","","","","","","","","","","","","","","","","","","","","","dgb_vpnpe1_Gi0/1","",,,,,,,,
"151",":Port","","","","","","","","","","","","","","","","","","","","","","","dgb_acsw1_Gi1/0/2","",,,,,,,,
"152",":Port","","","","","","","","","","","","","","","","","","","","","","","dgb_vpnpe1_Gi0/2","",,,,,,,,
"153",":Port","","","","","","","","","","","","","","","","","","","","","","","dgb_acsw1_Gi1/0/1","",,,,,,,,
"154",":Port","","","","","","","","","","","","","","","","","","","","","","","dgb_coresw12_Gi1/0/19","",,,,,,,,
"155",":Port","","","","","","","","","","","","","","","","","","","","","","","dgb_acsw1_Gi1/0/8","",,,,,,,,
"156",":Router","","","","","","","","","192.168.251.28","","","","","","","","","","","","","","dgb_core1","",,,,,,,,
"157",":Port","","","","","","","","","","","","","","","","","","","","","","","dgb_core1_ae0","",,,,,,,,
"158",":Port","","","","","","","","","","","","","","","","","","","","","","","dgb_coresw12_eth_trunk2","",,,,,,,,
"159",":Router","","","","","","","","","192.168.251.29","","","","","","","","","","","","","","dgb_core2","",,,,,,,,
"160",":Port","","","","","","","","","","","","","","","","","","","","","","","dgb_core2_ae0","",,,,,,,,
"161",":Port","","","","","","","","","","","","","","","","","","","","","","","dgb_coresw12_eth_trunk3","",,,,,,,,
"163","","","","","","","","164","","","","","","","","","","","","","","","","","",,,,,,,,
"164",":BaseNode:Device","","","","","","","","","","","","","","d2","","","","","","","","","","",,,,,,,,
"165",":BaseNode:Device","","","","","","","","","192.168.1.200","true","","","","d3","","","","","","","","","","",,,,,,,,
"166",":BaseNode:Device","","","","","","","","","192.168.1.400","","","","","d4","","","","","","","","","","",,,,,,,,
"168",":BaseNode:Device","","","","2020-10-13","","","","","","true","","","","d7","","","","","","","","","","",,,,,,,,
"169",":BaseNode:Device","","","","","","","","","","","","","","d5","","","","","","","","","","",,,,,,,,
"170",":BaseNode:Device","","","","","","","","","","","","","","d6","","","","","","","","","","",,,,,,,,
"171",":BaseNode:Customer","","","","","","","","installB","","false","customerB","","","customerB","","","","","on","","","","customerB","",,,,,,,,
"172",":BaseNode:Device","","","","","","","","","192.168.1.99","","","","","d1","","","","","","","","","","",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"95","96","USE","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"95","97","USE","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"96","100","RELY_ON","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"100","101","RELY_ON","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"101","102","BELONGS_TO","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"102","103","RUN_ON","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"103","104","MANAGED_BY","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"104","107","RUN_ON","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"107","108","CONTAINS","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"108","109","CONNECTS","","","","Fiber","dgb_esxi1_eth1--dgb_coresw12_Gi0/0/0"
,,,,,,,,,,,,,,,,,,,,,,,,,,"109","105","PART_OF","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"104","110","RUN_ON","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"110","111","CONTAINS","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"111","112","CONNECTS","","","","Fiber","dgb_esxi2_eth1--dgb_coresw12_Gi0/0/5"
,,,,,,,,,,,,,,,,,,,,,,,,,,"112","105","PART_OF","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"104","113","RUN_ON","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"113","114","CONTAINS","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"114","115","CONNECTS","","","","Fiber","dgb_esxi3_eth1--dgb_coresw12_Gi0/0/2"
,,,,,,,,,,,,,,,,,,,,,,,,,,"115","105","PART_OF","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"107","116","CONTAINS","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"116","117","CONNECTS","","","","Fiber","dgb_esxi1_eth2--dgb_acsw1_Gi0/1/0"
,,,,,,,,,,,,,,,,,,,,,,,,,,"117","106","PART_OF","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"110","118","CONTAINS","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"118","119","CONNECTS","","","","Fiber","dgb_esxi2_eth2--dgb_acsw1_Gi0/1/1"
,,,,,,,,,,,,,,,,,,,,,,,,,,"119","106","PART_OF","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"113","120","CONTAINS","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"120","121","CONNECTS","","","","Fiber","dgb_esxi3_eth2--dgb_acsw1_Gi0/1/2"
,,,,,,,,,,,,,,,,,,,,,,,,,,"121","106","PART_OF","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"101","122","RELY_ON","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"122","123","CONNECTS","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"123","105","PART_OF","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"101","124","RELY_ON","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"124","125","CONNECTS","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"125","106","PART_OF","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"126","105","CONNECTS","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"127","105","CONNECTS","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"105","128","CONTAINS","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"128","129","CONNECTS","","","","Fiber","dgb_coresw12_eth_trunk1--dgb_fastip3_po1"
,,,,,,,,,,,,,,,,,,,,,,,,,,"129","130","PART_OF","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"130","131","CONTAINS","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"131","132","CONNECTS","","","","Fiber","dgb_fastip3_gi004--dgb_acsw1_gi1026"
,,,,,,,,,,,,,,,,,,,,,,,,,,"132","106","PART_OF","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"105","133","CONTAINS","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"133","134","CONNECTS","","","","Fiber","dgb_coresw12_Gi0/0/3--dgb_fastip1_Gi0/0"
,,,,,,,,,,,,,,,,,,,,,,,,,,"134","135","PART_OF","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"135","136","CONTAINS","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"136","137","CONNECTS","","","","Fiber","dgb_fastip1_Gi0/2--dgb_acsw1_Gi1/0/3"
,,,,,,,,,,,,,,,,,,,,,,,,,,"137","106","PART_OF","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"105","138","CONTAINS","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"138","139","CONNECTS","","","","Fiber","dgb_coresw12_Gi1/0/8--dgb_fastip1_Gi0/1"
,,,,,,,,,,,,,,,,,,,,,,,,,,"139","135","PART_OF","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"105","140","CONTAINS","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"140","141","CONNECTS","","","","Fiber","dgb_coresw12_Gi0/0/7--dgb_upe1_Gi0/0/0"
,,,,,,,,,,,,,,,,,,,,,,,,,,"141","142","PART_OF","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"142","143","CONTAINS","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"143","144","CONNECTS","","","","Fiber","dgb_upe1_Gi0/0/2--dgb_acsw1_Gi1/0/10"
,,,,,,,,,,,,,,,,,,,,,,,,,,"144","106","PART_OF","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"105","145","CONTAINS","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"145","146","CONNECTS","","","","Fiber","dgb_coresw12_Gi1/0/7--dgb_upe1_Gi0/0/1"
,,,,,,,,,,,,,,,,,,,,,,,,,,"146","142","PART_OF","","","","",""
